Credit Score,Annual Income,Years of Employment,Life Expectancy
723,77620,21,1
498,105103,18,1
732,72265,28,1
541,106694,25,1
496,120356,5,0
453,129388,26,1
306,63949,9,0
372,95139,4,0
332,46616,23,1
439,65927,10,0
590,195661,23,1
593,161727,12,1
353,129430,7,0
816,161449,17,1
340,118618,13,1
654,192330,23,1
702,185596,19,1
463,46069,9,0
713,92920,20,1
511,90453,3,0
412,176255,12,1
501,119555,27,1
594,78219,7,0
461,79500,8,0
358,85333,12,0
340,33261,17,0
566,192257,21,1
410,114715,24,1
378,164341,27,1
661,197597,5,0
487,131603,10,0
513,118300,12,0
708,185386,4,0
392,31151,13,0
826,34387,15,0
737,146270,19,1
438,140018,19,1
849,164771,8,0
662,99698,1,0
589,84286,21,1
367,96709,14,1
423,140927,12,1
788,169886,5,0
782,113664,28,1
787,128036,2,0
412,152992,20,1
654,86677,5,0
643,90269,8,0
632,49345,9,0
793,178598,27,1
696,119977,15,0
438,30589,1,0
614,171426,11,1
742,62222,20,0
508,39610,23,1
403,179973,24,1
378,67893,0,0
382,180497,23,1
475,149036,10,1
426,126616,25,1
512,151379,24,1
348,166232,21,1
549,142439,11,1
527,72953,15,0
530,168447,8,0
397,190526,28,1
539,185884,22,1
352,184490,4,1
750,40862,16,0
707,25741,27,1
474,65619,22,1
417,104607,14,1
751,22462,12,0
363,138333,29,1
815,154445,4,0
361,25103,19,1
424,47197,4,0
749,74722,6,0
340,172185,19,1
668,144591,29,1
551,100059,19,1
824,26589,11,0
734,143099,28,1
321,145814,20,1
730,198736,19,1
605,111198,8,0
532,116462,24,1
573,172191,12,1
640,97299,3,0
368,129708,12,1
779,189024,10,0
689,33780,20,0
783,197244,2,0
612,72446,13,0
702,175065,19,1
343,160148,7,1
547,38019,13,0
603,106795,6,0
315,51781,4,0
471,63954,27,1
806,181206,12,0
330,128106,14,1
677,199297,27,1
751,79821,4,0
773,38782,18,0
665,142019,29,1
344,94842,9,0
819,64739,10,0
372,169395,25,1
689,134091,23,1
318,66151,7,0
577,86983,8,0
630,143728,5,0
616,110610,16,1
562,118000,4,0
448,173322,7,1
682,40176,17,0
589,121154,11,0
827,142226,10,0
799,68008,19,0
828,61458,13,0
372,79191,3,0
318,137269,17,1
755,49437,21,0
364,26305,21,1
630,166480,25,1
679,83344,19,0
418,137305,7,0
641,128464,25,1
656,59082,7,0
625,196469,20,1
324,105679,16,1
505,29221,23,1
454,197747,3,0
633,176470,5,0
487,195607,1,0
384,85727,3,0
659,53455,14,0
465,106567,18,1
828,173837,3,0
481,55903,24,1
436,136136,13,1
718,97535,28,1
649,35810,6,0
540,99768,1,0
835,149744,15,0
401,107438,18,1
565,160347,8,0
755,117406,21,1
469,161355,3,0
503,31064,9,0
381,179525,10,1
399,69223,2,0
489,187527,9,1
648,188773,9,1
534,56413,26,1
602,110880,10,0
832,155601,20,1
683,101159,27,1
406,160431,16,1
730,195507,3,0
460,54700,10,0
348,143130,14,1
302,59350,26,1
739,89300,13,0
730,154678,2,0
474,64724,5,0
747,173407,21,1
765,186667,13,1
660,190091,8,0
447,43185,27,1
690,176140,1,0
804,181770,11,0
726,153653,2,0
554,87173,8,0
452,68847,15,0
835,183165,21,1
617,195121,13,1
748,64036,14,0
750,55440,6,0
438,186782,3,0
719,149048,28,1
492,131576,26,1
684,120922,10,0
664,172711,5,0
465,34719,15,0
672,45479,15,0
610,163888,14,1
811,170166,17,1
408,52299,11,0
733,199009,22,1
431,104774,27,1
770,36061,17,0
383,156690,2,0
389,21881,5,0
582,133053,4,0
727,151642,15,1
628,42439,16,0
706,113079,11,0
387,72227,11,0
364,22187,4,0
353,178302,22,1
324,45566,10,0
532,170655,6,0
436,92779,23,1
589,49963,15,0
718,158638,23,1
827,43386,15,0
660,76358,22,1
524,36351,20,0
525,97694,28,1
345,155693,0,0
427,141987,29,1
446,41839,23,1
763,144206,5,0
683,176904,21,1
774,51027,24,0
617,75798,23,1
504,166902,18,1
461,156093,1,0
500,67406,16,0
468,43666,29,1
487,103014,26,1
593,137797,18,1
526,156285,16,1
636,147314,18,1
793,63939,1,0
740,113422,24,1
798,38931,8,0
798,167839,23,1
312,137603,10,1
736,187679,1,0
750,63469,8,0
737,125686,14,0
810,42588,6,0
334,186601,23,1
785,96848,20,0
482,96312,27,1
447,94960,5,0
392,31874,4,0
653,88975,14,0
522,51480,11,0
793,79550,24,1
565,94055,3,0
760,150956,27,1
632,86788,1,0
309,141219,13,1
425,112910,14,1
408,184957,28,1
383,92307,9,0
791,164972,5,0
321,95886,9,0
740,72691,13,0
589,24234,15,0
816,107796,18,0
564,35916,25,1
666,190685,2,0
453,84093,23,1
755,53340,13,0
700,84575,3,0
662,164989,25,1
404,161871,5,0
559,86981,21,1
802,155899,26,1
589,165283,4,0
623,120546,15,1
501,179988,24,1
534,161013,22,1
692,174813,11,1
364,108151,10,0
476,104425,24,1
567,198293,6,1
708,166158,11,0
631,198933,20,1
422,34908,4,0
829,191389,17,1
561,78829,9,0
678,109424,27,1
819,181004,3,0
573,108059,2,0
794,92391,11,0
539,23453,16,0
567,120336,15,1
395,34026,11,0
389,174978,18,1
647,181888,22,1
754,162159,11,0
657,55503,0,0
720,54872,12,0
818,81799,28,1
594,199689,14,1
689,23262,19,0
300,86809,1,0
452,35534,17,0
400,94102,18,1
624,189831,19,1
758,34995,21,0
322,36999,2,0
507,141688,14,1
407,122421,12,1
793,73664,5,0
694,75480,13,0
453,176685,25,1
600,168441,6,0
752,180595,6,0
603,197871,23,1
720,54485,6,0
329,142564,28,1
460,180206,27,1
493,63919,3,0
786,191244,1,0
325,170592,12,1
382,124927,14,1
624,69393,9,0
834,140721,28,1
677,75805,11,0
642,185732,14,1
691,138094,18,1
719,117137,12,0
781,32356,8,0
326,126609,25,1
498,195441,12,1
617,127227,26,1
674,48302,21,0
602,155699,11,1
348,93616,10,0
349,155370,21,1
469,129162,1,0
648,171014,10,0
744,64942,22,0
304,63856,15,1
601,129814,24,1
811,140062,24,1
742,134444,0,0
825,168040,15,1
535,122412,12,0
494,47048,15,0
681,84925,29,1
321,141008,13,1
472,109049,11,0
742,22382,19,0
698,182527,10,1
782,55931,21,0
764,52101,0,0
509,57158,14,0
668,42908,5,0
358,58225,28,1
700,62946,3,0
438,40789,27,1
595,156198,21,1
565,113500,10,0
437,148308,4,0
303,166621,6,1
766,26968,14,0
773,192646,26,1
367,162867,5,0
322,95324,3,0
716,155958,13,1
375,151208,17,1
483,165406,25,1
561,149974,17,1
428,113078,12,1
788,90204,1,0
742,178395,15,1
828,130986,27,1
465,138570,8,0
408,51923,14,0
563,171956,10,1
461,80815,24,1
742,164670,27,1
329,141948,20,1
686,150841,3,0
787,134816,0,0
646,104514,8,0
594,184005,7,0
806,32306,16,0
576,198969,29,1
824,51085,26,1
642,197718,5,0
470,170872,21,1
556,98278,19,1
744,83059,3,0
612,182580,11,1
467,43929,21,1
321,174648,20,1
440,98824,3,0
740,189302,26,1
373,160090,24,1
849,82061,9,0
774,22763,3,0
464,65913,9,0
368,73592,3,0
602,115402,14,0
722,125982,21,1
817,115676,4,0
455,45963,3,0
586,148585,0,0
544,95485,10,0
745,168690,15,1
735,33255,16,0
575,186508,10,1
557,181081,1,0
493,122476,27,1
545,36999,18,0
492,91128,29,1
574,134527,7,0
454,184474,5,1
749,90463,11,0
385,106402,13,1
440,26901,24,1
739,176379,12,1
462,23748,7,0
466,182421,29,1
337,33682,3,0
484,162482,18,1
666,170528,21,1
744,73218,15,0
711,35735,15,0
551,58084,4,0
705,144116,0,0
583,175438,6,0
362,20717,28,1
637,38395,16,0
743,61153,4,0
603,182246,10,1
513,64254,1,0
493,133650,26,1
789,23558,1,0
511,169351,24,1
456,169335,7,1
595,29343,13,0
470,107954,12,0
622,85133,16,0
841,185714,28,1
518,92373,2,0
408,121158,19,1
600,55098,23,1
360,120260,17,1
509,176452,28,1
598,199001,10,1
612,197359,27,1
832,195458,17,1
832,111683,26,1
463,156385,19,1
783,187361,24,1
352,89341,12,0
618,131362,0,0
328,25898,22,1
656,33233,27,1
383,185100,20,1
533,65095,15,0
517,185465,12,1
767,51417,6,0
606,75863,13,0
686,196298,13,1
358,53776,1,0
534,186375,26,1
803,48807,3,0
679,24994,22,0
324,42553,24,1
750,34671,25,0
388,124188,10,1
504,21657,22,0
497,25698,10,0
677,163279,25,1
796,31577,8,0
339,33409,16,0
730,69170,10,0
822,130684,26,1
400,174542,26,1
387,81576,8,0
571,147992,13,1
843,97963,17,0
431,113095,5,0
676,139639,15,1
561,183926,18,1
663,128117,4,0
456,56182,21,1
410,133002,4,0
500,88842,21,1
700,169180,27,1
514,96996,26,1
717,150407,25,1
776,33652,9,0
675,45901,6,0
531,199588,12,1
625,45517,22,0
453,125750,18,1
566,59178,20,1
669,100764,10,0
401,199075,13,1
601,82790,18,1
455,32100,28,1
609,76889,17,0
780,86125,14,0
823,194379,1,0
651,83909,13,0
846,167616,11,0
517,59104,17,0
487,184344,7,1
569,24765,4,0
626,20336,12,0
582,159920,25,1
790,65991,21,0
713,140592,7,0
403,22775,19,0
674,71831,23,1
728,62056,16,0
411,30234,7,0
666,168459,24,1
820,24992,26,0
577,72495,16,0
312,134589,1,0
824,66830,18,0
564,117537,9,0
675,26476,19,0
813,78692,12,0
691,24006,25,0
307,28597,25,1
737,181147,10,0
827,89443,27,1
544,147619,21,1
777,149631,5,0
628,182781,25,1
425,45939,1,0
387,83185,3,0
753,140076,27,1
330,57548,4,0
848,150526,22,1
696,170245,6,0
819,143683,6,0
474,169134,5,0
570,178114,16,1
440,28002,28,1
547,142672,12,1
318,106207,11,1
608,79993,7,0
567,110932,26,1
845,61235,21,0
624,198646,3,0
342,87766,24,1
814,30703,25,0
331,58134,28,1
306,90021,1,0
604,112067,5,0
703,62933,22,0
463,181215,21,1
403,23358,29,1
813,74195,19,0
536,25368,11,0
554,77021,21,1
453,169888,27,1
808,95033,3,0
358,130130,20,1
372,70113,15,1
755,64825,0,0
401,69522,15,0
412,153059,25,1
827,44519,11,0
354,188171,10,1
340,184044,15,1
835,109037,9,0
658,192075,22,1
644,152659,26,1
661,137473,11,0
761,99414,18,0
309,161994,1,0
422,95209,29,1
690,171388,22,1
798,39996,29,1
718,26511,9,0
520,137449,20,1
427,167175,27,1
623,124433,24,1
497,20917,0,0
557,69420,22,1
814,124135,10,0
620,85206,9,0
775,53722,26,1
410,155639,6,0
621,112446,19,1
472,31669,6,0
446,196020,11,1
459,59850,1,0
559,88798,6,0
715,183244,24,1
502,96173,27,1
478,115082,10,0
697,165787,2,0
773,99818,15,0
459,102569,0,0
428,112876,22,1
391,57034,21,1
640,73822,24,1
614,149593,13,1
720,115408,15,0
501,30956,21,0
751,60953,20,0
415,133936,14,1
702,175072,6,0
788,78870,9,0
630,198173,24,1
727,52954,25,1
635,97525,21,1
426,197385,2,0
398,128944,12,1
547,133502,26,1
659,155506,11,0
403,161407,26,1
705,153663,10,0
693,93193,12,0
501,194514,28,1
614,111911,13,0
372,98672,19,1
621,180703,22,1
427,165083,27,1
450,146278,14,1
571,55944,27,1
600,122811,29,1
314,74353,12,0
808,54693,11,0
804,183623,4,0
817,43569,22,0
463,39692,9,0
551,180840,2,0
515,136841,7,0
433,148652,22,1
386,84925,29,1
374,156304,23,1
582,91088,8,0
593,50908,21,0
561,89783,0,0
776,22866,27,0
464,98542,18,1
813,115985,7,0
607,144857,25,1
658,65536,17,0
426,44042,17,0
726,159335,10,0
553,109959,14,0
755,90744,19,0
795,130529,17,0
570,186536,9,1
752,194442,24,1
727,85785,14,0
346,98116,26,1
302,171599,14,1
751,39288,28,1
527,119165,19,1
791,37413,16,0
473,177561,21,1
399,98257,4,0
588,149572,22,1
421,107923,12,1
512,85048,6,0
642,172297,5,0
319,25454,14,0
599,83972,4,0
801,131497,11,0
375,163464,5,0
477,31094,14,0
413,63395,14,0
312,81169,12,0
698,115432,26,1
653,115989,17,1
656,146083,0,0
311,110221,21,1
578,60142,7,0
392,21700,27,1
401,75571,19,1
381,123751,25,1
380,131718,25,1
668,186258,5,0
423,195745,2,0
751,185556,24,1
637,116143,14,0
441,43199,12,0
674,144997,2,0
768,169524,2,0
340,115430,21,1
478,81753,8,0
433,170611,6,1
711,107959,11,0
643,110101,28,1
776,64041,20,0
368,195607,6,1
638,179892,29,1
386,86197,9,0
794,185289,5,0
657,57228,21,0
380,195595,15,1
836,61830,2,0
681,21051,3,0
503,173939,23,1
480,127228,0,0
390,104811,2,0
678,96918,19,1
534,193860,16,1
787,79546,13,0
434,59531,14,0
509,125583,17,1
381,137192,9,1
515,131249,6,0
424,153962,18,1
417,150830,29,1
458,189934,7,1
803,64757,26,1
689,92567,12,0
808,48054,11,0
316,98768,5,0
425,98484,11,0
