Cigarettes per Day,Age,Diet Quality,Life Expectancy
1,58,Poor,70.6
7,71,Poor,72.7
6,48,Average,81.6
1,34,Average,80.8
2,62,Average,73.4
17,27,Average,98.9
11,40,Average,89.0
0,58,Average,72.6
11,77,Average,77.9
4,38,Average,82.6
16,42,Average,93.4
15,30,Excellent,99.0
14,30,Average,95.0
14,43,Poor,88.1
4,72,Poor,69.4
20,55,Poor,90.5
13,59,Average,85.3
1,43,Average,78.1
10,22,Average,93.4
18,41,Average,95.7
6,72,Poor,71.4
5,21,Average,88.7
1,43,Poor,75.1
5,63,Average,76.1
17,49,Poor,89.3
1,57,Excellent,76.9
17,21,Poor,97.7
14,79,Excellent,83.3
18,40,Average,96.0
1,52,Excellent,78.4
19,31,Average,99.7
5,77,Average,71.9
0,41,Average,77.7
14,63,Average,85.1
9,44,Average,85.8
18,68,Average,87.6
16,46,Average,92.2
4,78,Poor,67.6
3,61,Average,74.7
9,47,Average,84.9
16,79,Average,82.3
9,35,Average,88.5
16,34,Average,95.8
19,66,Excellent,92.2
4,70,Poor,70.0
1,63,Average,72.1
5,74,Average,72.8
20,71,Average,88.7
1,76,Excellent,71.2
12,22,Poor,92.4
10,56,Average,83.2
10,70,Average,79.0
15,26,Average,97.2
10,40,Average,88.0
18,28,Average,99.6
14,58,Average,86.6
15,37,Average,93.9
10,23,Poor,90.1
15,44,Average,91.8
7,79,Poor,70.3
3,33,Average,83.1
7,69,Average,76.3
3,77,Average,69.9
2,28,Average,83.6
2,45,Poor,75.5
17,72,Average,85.4
18,21,Average,101.7
18,39,Average,96.3
20,47,Excellent,98.9
4,66,Poor,71.2
17,79,Average,83.3
9,26,Average,91.2
20,63,Average,91.1
5,27,Poor,83.9
0,66,Poor,67.2
4,54,Excellent,80.8
8,33,Average,88.1
11,36,Average,90.2
13,55,Average,86.5
1,69,Average,70.3
16,59,Poor,85.3
13,23,Average,96.1
12,21,Average,95.7
8,25,Excellent,93.5
14,73,Poor,79.1
14,61,Average,85.7
10,23,Average,93.1
15,73,Average,83.1
16,48,Average,91.6
3,37,Average,81.9
0,45,Average,76.5
7,63,Average,78.1
16,53,Average,90.1
2,29,Excellent,86.3
19,55,Average,92.5
14,33,Average,94.1
14,50,Poor,86.0
13,67,Excellent,85.9
13,34,Poor,89.8
1,27,Poor,79.9
12,33,Poor,89.1
13,42,Average,90.4
18,79,Poor,81.3
6,76,Poor,70.2
2,59,Poor,71.3
14,40,Poor,89.0
13,35,Average,92.5
10,64,Average,80.8
14,37,Average,92.9
12,66,Average,82.2
17,72,Average,85.4
5,43,Poor,79.1
2,45,Average,78.5
18,44,Excellent,97.8
14,79,Average,80.3
4,79,Poor,67.3
9,79,Average,75.3
6,64,Average,76.8
16,60,Average,88.0
6,48,Poor,78.6
11,34,Poor,87.8
16,64,Poor,83.8
12,20,Excellent,99.0
19,44,Average,95.8
3,26,Poor,82.2
9,28,Poor,87.6
2,43,Average,79.1
8,20,Poor,89.0
12,63,Poor,80.1
17,27,Excellent,101.9
14,43,Poor,88.1
3,30,Average,84.0
14,70,Excellent,86.0
1,36,Average,80.2
14,27,Poor,92.9
7,54,Poor,77.8
7,54,Excellent,83.8
16,52,Excellent,93.4
11,78,Average,77.6
18,24,Poor,97.8
9,61,Average,80.7
8,58,Excellent,83.6
4,77,Average,70.9
5,60,Excellent,80.0
19,47,Excellent,97.9
1,26,Average,83.2
12,28,Average,93.6
5,27,Average,86.9
4,31,Poor,81.7
0,53,Average,74.1
20,52,Average,94.4
20,67,Excellent,92.9
5,74,Excellent,75.8
5,42,Average,82.4
15,43,Poor,89.1
3,56,Poor,73.2
10,54,Poor,80.8
8,63,Average,79.1
2,59,Average,74.3
18,41,Excellent,98.7
7,46,Average,83.2
4,54,Excellent,80.8
3,20,Excellent,90.0
5,54,Average,78.8
1,56,Excellent,77.2
19,66,Average,89.2
10,33,Poor,87.1
3,22,Average,86.4
14,20,Average,98.0
5,24,Average,87.8
16,45,Average,92.5
5,74,Average,72.8
18,33,Average,98.1
1,58,Average,73.6
14,46,Average,90.2
10,28,Average,91.6
7,34,Average,86.8
18,34,Poor,94.8
12,45,Average,88.5
11,61,Poor,79.7
4,79,Average,70.3
5,32,Average,85.4
3,70,Average,72.0
18,51,Average,92.7
19,58,Excellent,94.6
0,68,Excellent,72.6
19,71,Excellent,90.7
16,51,Excellent,93.7
11,23,Poor,91.1
14,49,Poor,86.3
0,56,Average,73.2
13,42,Poor,87.4
5,58,Average,77.6
4,64,Average,74.8
10,34,Average,89.8
3,62,Average,74.4
12,48,Average,87.6
10,55,Average,83.5
2,32,Excellent,85.4
0,51,Average,74.7
5,26,Excellent,90.2
17,78,Poor,80.6
9,70,Excellent,81.0
4,41,Average,81.7
9,47,Average,84.9
11,21,Poor,91.7
1,61,Average,72.7
12,64,Poor,79.8
7,76,Poor,71.2
1,72,Average,69.4
19,25,Average,101.5
0,47,Average,75.9
4,47,Excellent,82.9
8,63,Average,79.1
16,63,Average,87.1
8,39,Poor,83.3
10,49,Average,85.3
14,30,Average,95.0
5,77,Excellent,74.9
2,74,Excellent,72.8
16,47,Average,91.9
4,44,Poor,77.8
11,58,Excellent,86.6
17,52,Average,91.4
13,20,Poor,94.0
20,76,Poor,84.2
10,46,Average,86.2
8,76,Poor,72.2
1,71,Excellent,72.7
11,32,Average,91.4
2,60,Poor,71.0
2,22,Excellent,88.4
0,58,Average,72.6
7,25,Average,89.5
7,27,Poor,85.9
10,46,Poor,83.2
8,28,Average,89.6
4,56,Average,77.2
13,52,Average,87.4
2,70,Average,71.0
20,61,Average,91.7
4,63,Poor,72.1
4,43,Average,81.1
18,34,Excellent,100.8
13,78,Average,79.6
3,73,Average,71.1
12,51,Poor,83.7
9,51,Average,83.7
17,43,Average,94.1
7,60,Excellent,82.0
7,71,Average,75.7
6,68,Excellent,78.6
7,68,Average,76.6
13,77,Poor,76.9
18,71,Average,86.7
5,31,Poor,82.7
0,58,Poor,69.6
14,21,Excellent,100.7
0,22,Average,83.4
16,68,Average,85.6
0,56,Poor,70.2
14,68,Average,83.6
1,75,Poor,65.5
13,36,Poor,89.2
20,78,Average,86.6
7,68,Poor,73.6
7,21,Average,90.7
18,21,Poor,98.7
6,47,Poor,78.9
18,73,Poor,83.1
5,42,Average,82.4
5,56,Average,78.2
2,51,Average,76.7
6,52,Average,80.4
18,20,Average,102.0
7,38,Poor,82.6
9,21,Average,92.7
19,72,Excellent,90.4
14,63,Average,85.1
14,45,Average,90.5
0,51,Excellent,77.7
19,25,Average,101.5
6,51,Poor,77.7
3,74,Average,70.8
5,23,Average,88.1
0,74,Average,67.8
4,30,Average,85.0
0,75,Average,67.5
3,78,Average,69.6
1,36,Average,80.2
9,57,Excellent,84.9
4,43,Average,81.1
9,24,Poor,88.8
0,71,Average,68.7
5,53,Poor,76.1
12,25,Average,94.5
14,41,Average,91.7
3,30,Poor,81.0
12,67,Average,81.9
19,35,Poor,95.5
14,52,Poor,85.4
7,28,Average,88.6
4,79,Average,70.3
14,78,Excellent,83.6
3,25,Average,85.5
11,35,Average,90.5
12,48,Average,87.6
1,22,Poor,81.4
18,39,Excellent,99.3
18,79,Average,84.3
3,78,Average,69.6
3,55,Poor,73.5
10,38,Average,88.6
4,45,Average,80.5
19,22,Excellent,105.4
10,38,Poor,85.6
9,39,Average,87.3
7,51,Excellent,84.7
5,26,Average,87.2
5,71,Average,73.7
7,60,Poor,76.0
14,52,Excellent,91.4
13,59,Poor,82.3
10,58,Average,82.6
11,37,Average,89.9
12,59,Poor,81.3
7,20,Average,91.0
17,30,Poor,95.0
0,47,Poor,72.9
14,76,Average,81.2
7,44,Excellent,86.8
10,69,Average,79.3
11,42,Average,88.4
11,50,Poor,83.0
3,49,Poor,75.3
15,61,Poor,83.7
3,54,Poor,73.8
4,26,Average,86.2
4,79,Average,70.3
7,35,Average,86.5
9,45,Poor,82.5
16,67,Average,85.9
8,76,Excellent,78.2
18,71,Poor,83.7
13,79,Excellent,82.3
7,68,Excellent,79.6
8,21,Poor,88.7
10,20,Average,94.0
0,67,Average,69.9
13,31,Average,93.7
4,24,Average,86.8
20,56,Average,93.2
13,51,Average,87.7
3,78,Average,69.6
0,74,Average,67.8
18,28,Average,99.6
7,60,Average,79.0
14,54,Average,87.8
20,38,Poor,95.6
14,67,Poor,80.9
8,35,Excellent,90.5
20,22,Average,103.4
8,39,Poor,83.3
9,43,Poor,83.1
19,73,Poor,84.1
20,75,Excellent,90.5
8,52,Average,82.4
2,43,Excellent,82.1
19,71,Average,87.7
10,30,Average,91.0
5,68,Average,74.6
1,27,Average,82.9
6,55,Poor,76.5
17,57,Excellent,92.9
1,59,Excellent,76.3
16,39,Average,94.3
10,54,Excellent,86.8
11,67,Excellent,83.9
18,44,Average,94.8
6,54,Poor,76.8
19,44,Average,95.8
5,48,Average,80.6
20,37,Poor,95.9
0,65,Poor,67.5
16,37,Average,94.9
10,21,Poor,90.7
17,73,Average,85.1
20,54,Excellent,96.8
16,35,Excellent,98.5
6,60,Poor,75.0
16,55,Excellent,92.5
19,52,Poor,90.4
8,23,Poor,88.1
16,52,Average,90.4
19,33,Average,99.1
7,40,Average,85.0
16,67,Average,85.9
6,39,Poor,81.3
0,75,Poor,64.5
12,27,Average,93.9
18,26,Average,100.2
18,22,Average,101.4
16,36,Poor,92.2
12,52,Average,86.4
15,67,Poor,81.9
7,31,Poor,84.7
18,78,Average,84.6
17,70,Poor,83.0
0,41,Poor,74.7
13,74,Average,80.8
18,41,Average,95.7
14,65,Average,84.5
17,49,Poor,89.3
1,57,Poor,70.9
16,57,Poor,85.9
17,64,Poor,84.8
5,70,Average,74.0
18,73,Excellent,89.1
3,27,Average,84.9
0,46,Average,76.2
7,46,Average,83.2
6,53,Average,80.1
2,40,Average,80.0
9,49,Average,84.3
9,52,Average,83.4
18,47,Poor,90.9
13,66,Average,83.2
1,52,Excellent,78.4
0,24,Poor,79.8
17,79,Poor,80.3
6,67,Average,75.9
7,38,Average,85.6
0,23,Average,83.1
2,54,Average,75.8
7,68,Poor,73.6
14,36,Average,93.2
4,63,Average,75.1
2,47,Excellent,80.9
18,49,Average,93.3
0,48,Poor,72.6
14,65,Poor,81.5
7,72,Poor,72.4
1,25,Average,83.5
2,54,Poor,72.8
13,79,Average,79.3
13,60,Average,85.0
10,56,Poor,80.2
15,43,Poor,89.1
3,48,Poor,75.6
19,68,Excellent,91.6
4,65,Poor,71.5
20,72,Average,88.4
13,50,Excellent,91.0
15,54,Average,88.8
17,79,Excellent,86.3
6,52,Average,80.4
9,71,Excellent,80.7
6,40,Poor,81.0
0,51,Poor,71.7
20,42,Average,97.4
18,52,Excellent,95.4
15,22,Excellent,101.4
18,37,Poor,93.9
3,44,Poor,76.8
17,61,Excellent,91.7
1,50,Poor,73.0
