Credit Score,Annual Income,Years of Employment,Loan Approved
617,121559,17,1
794,186781,16,1
450,69825,8,0
619,34603,18,0
779,44539,27,1
691,119597,20,1
336,157607,15,1
764,68536,29,1
534,164483,10,1
704,44146,19,0
688,177992,5,0
444,54487,13,0
411,149601,25,1
484,66363,3,0
551,96687,4,0
427,100169,3,0
315,134637,3,0
772,46118,7,0
560,47872,22,1
405,27992,10,0
552,130772,20,1
777,99182,28,1
544,47014,8,0
518,155713,8,0
680,20383,17,0
519,197914,17,1
488,136606,28,1
366,181838,5,0
809,45114,29,1
835,25171,27,1
328,152256,16,1
549,167132,25,1
368,185678,20,1
336,72319,22,1
324,24743,3,0
632,168263,18,1
590,174817,3,0
641,54405,16,0
592,108731,21,1
725,62918,27,1
562,128077,0,0
587,172215,15,1
806,81708,2,0
539,53417,11,0
818,153277,18,1
478,136893,24,1
427,95789,24,1
759,135287,0,0
460,144696,13,1
773,182884,28,1
585,70616,8,0
558,25835,23,1
632,124636,1,0
364,109752,27,1
725,25733,29,1
450,40584,15,0
829,159752,6,0
304,147541,6,0
432,23938,12,0
702,156110,18,1
314,92698,18,1
310,84141,17,1
606,152620,19,1
303,180969,29,1
308,161742,25,1
662,126781,5,0
649,75564,27,1
335,148695,14,1
346,144962,21,1
473,150106,2,0
751,48348,1,0
498,104625,6,0
366,179915,18,1
743,111888,27,1
559,144937,9,0
810,137175,5,0
668,143901,17,1
310,181424,28,1
409,75766,4,0
491,192756,19,1
679,46712,19,0
412,163867,1,0
677,193882,21,1
305,138740,4,0
800,47861,19,0
596,184644,25,1
736,133932,29,1
749,137762,19,1
689,87118,7,0
532,58739,24,1
638,124697,4,0
347,31298,19,0
744,66175,29,1
619,129763,29,1
750,173243,15,1
597,54864,2,0
841,101390,25,1
396,44451,25,1
837,60700,12,0
848,192043,20,1
545,120976,29,1
454,140536,25,1
612,173756,29,1
766,67400,5,0
561,99049,3,0
590,166178,20,1
570,87022,20,1
534,165979,9,1
842,80404,17,0
738,115945,19,1
691,128909,17,1
649,81704,24,1
466,109381,29,1
392,42754,11,0
515,64012,29,1
721,51478,2,0
409,60038,11,0
734,79227,24,1
789,178448,26,1
610,68058,11,0
426,101841,1,0
749,192277,26,1
358,85315,28,1
403,58218,22,1
373,110770,25,1
573,133924,27,1
605,110929,17,1
389,102910,1,0
771,189360,1,0
549,151176,20,1
415,186973,25,1
569,33585,20,0
587,112870,27,1
424,138365,7,0
833,153698,0,0
793,102123,12,0
557,134682,17,1
780,199246,7,0
471,163528,12,1
590,87281,23,1
646,33479,6,0
786,30751,2,0
568,135465,27,1
672,155531,9,0
616,195386,18,1
458,115161,26,1
533,149988,12,1
400,133258,18,1
790,133447,7,0
722,180595,17,1
658,111583,29,1
563,54164,26,1
849,165031,14,1
542,88127,6,0
377,125568,23,1
576,131604,6,0
777,50875,2,0
588,172728,28,1
739,121175,17,1
703,110668,13,0
740,156922,24,1
834,60091,19,0
386,128770,16,1
792,32015,8,0
529,131272,9,0
338,141464,7,0
718,158733,25,1
482,134976,18,1
538,95200,19,1
445,56847,28,1
590,156908,1,0
441,173104,25,1
317,122517,26,1
833,97560,19,1
526,89963,21,1
542,182383,20,1
466,123644,11,0
459,177235,3,0
402,41212,2,0
414,98908,29,1
540,31794,22,1
721,98745,0,0
354,193962,25,1
321,120449,24,1
449,122625,14,1
613,62659,0,0
622,66832,8,0
332,44890,26,1
529,93315,4,0
527,96264,29,1
445,31367,19,0
561,133054,22,1
418,34731,24,1
621,195112,20,1
535,156218,18,1
433,162440,20,1
534,151167,5,0
496,38394,7,0
319,53330,2,0
311,21253,19,0
658,76339,1,0
481,128983,25,1
596,139583,27,1
815,177638,13,1
803,184787,22,1
430,118597,10,0
558,23407,17,0
581,115148,6,0
689,68437,21,1
316,77476,29,1
414,33795,0,0
436,185777,7,1
420,106553,23,1
670,137686,5,0
740,80794,10,0
818,48236,9,0
792,62752,1,0
615,40320,0,0
667,177638,3,0
304,191433,25,1
300,137096,29,1
434,152179,8,0
804,35995,12,0
623,169603,3,0
423,174973,2,0
369,37111,27,1
667,41273,17,0
361,160500,1,0
595,159692,8,0
615,62454,6,0
508,133895,1,0
773,94034,11,0
805,152607,29,1
583,142571,16,1
503,72506,28,1
589,140602,28,1
581,177644,13,1
718,71996,13,0
414,64928,14,0
599,139109,28,1
338,34393,16,0
447,75782,3,0
782,90157,24,1
449,78107,13,0
646,156443,6,0
719,28794,18,0
691,59762,24,1
560,167244,1,0
816,132860,28,1
353,197731,8,1
693,191031,14,1
705,194985,18,1
392,197587,9,1
323,25637,27,1
412,155386,7,0
689,58433,24,1
302,181921,12,1
556,55903,9,0
449,100573,16,1
764,74767,1,0
849,129915,17,1
376,30986,1,0
635,48876,18,0
446,135999,24,1
790,129805,15,1
631,72699,14,0
821,64986,7,0
677,70772,6,0
629,181865,29,1
322,112101,17,1
576,183981,8,1
767,138376,15,1
624,182641,1,0
666,53069,7,0
379,165561,20,1
717,38880,8,0
633,36118,8,0
349,129262,20,1
438,157431,0,0
669,182758,23,1
846,77615,9,0
600,164901,2,0
557,28903,0,0
