Credit Score,Annual Income,Years of Employment,Loan Approved
633,176470,5,0
521,55842,9,0
340,33261,17,0
367,96709,14,1
813,115985,7,0
426,126616,25,1
554,87173,8,0
315,51781,4,0
776,33652,9,0
361,25103,19,1
731,45500,5,0
567,120336,15,1
334,186601,23,1
793,133499,26,1
768,169524,2,0
624,69393,9,0
603,182246,10,1
575,186508,10,1
500,67406,16,0
744,83059,3,0
623,167026,3,0
334,102722,16,1
781,32356,8,0
779,148128,18,1
364,22187,4,0
307,97243,21,1
600,55098,23,1
642,172297,5,0
730,154678,2,0
723,77620,21,1
631,183900,0,0
737,146270,19,1
473,177561,21,1
826,34387,15,0
325,89463,22,1
705,153663,10,0
531,199588,12,1
832,111683,26,1
849,82061,9,0
804,101257,2,0
478,81753,8,0
431,104774,27,1
754,162159,11,0
647,181888,22,1
839,43408,13,0
705,144116,0,0
375,151208,17,1
791,37413,16,0
493,133650,26,1
461,79500,8,0
646,104514,8,0
660,76358,22,1
386,86197,9,0
561,183926,18,1
513,96240,28,1
561,36322,14,0
582,133053,4,0
766,26968,14,0
679,47518,19,0
661,71925,22,1
748,131900,29,1
740,113422,24,1
392,21700,27,1
723,113782,1,0
441,43199,12,0
590,195661,23,1
731,183187,15,1
348,25520,14,0
601,129814,24,1
489,187527,9,1
435,143364,13,1
703,192677,9,0
640,34955,24,1
617,195121,13,1
662,164989,25,1
681,84925,29,1
532,127216,22,1
643,90269,8,0
848,182026,24,1
828,61458,13,0
482,109037,2,0
340,172185,19,1
696,119977,15,0
793,63939,1,0
632,49345,9,0
426,197385,2,0
300,130107,10,1
467,141866,10,1
318,89166,20,1
631,198933,20,1
755,117406,21,1
408,69298,12,0
567,198293,6,1
744,64942,22,0
539,23453,16,0
600,122811,29,1
402,74935,1,0
549,142439,11,1
752,194442,24,1
819,28328,9,0
452,35534,17,0
473,105280,21,1
642,56320,26,1
730,69170,10,0
623,120546,15,1
719,100201,16,0
784,28640,18,0
711,181121,17,1
383,156690,2,0
412,152992,20,1
631,63937,26,1
677,163279,25,1
340,184044,15,1
404,161871,5,0
501,179988,24,1
749,90463,11,0
565,113500,10,0
509,57158,14,0
417,104607,14,1
676,139639,15,1
839,91696,9,0
383,81510,11,0
753,140076,27,1
813,78692,12,0
686,150841,3,0
649,35810,6,0
595,156198,21,1
557,181081,1,0
380,131718,25,1
567,110932,26,1
718,20192,26,0
534,56413,26,1
610,163888,14,1
656,59082,7,0
512,85048,6,0
348,143130,14,1
426,70940,22,1
522,183202,13,1
578,60142,7,0
707,56468,27,1
804,181770,11,0
593,161727,12,1
576,198969,29,1
737,181147,10,0
406,160431,16,1
719,149048,28,1
728,62056,16,0
674,71831,23,1
372,79191,3,0
329,141948,20,1
487,184344,7,1
663,128117,4,0
750,34671,25,0
494,47048,15,0
455,45963,3,0
471,63954,27,1
340,115430,21,1
362,20717,28,1
322,31676,14,0
659,155506,11,0
374,138696,4,0
417,150830,29,1
679,24994,22,0
589,24234,15,0
739,89300,13,0
