Cigarettes per Day,Age,Diet Quality,Life Expectancy
1,52,Excellent,78.4
10,79,Average,76.3
4,77,Poor,67.9
18,32,Poor,95.4
16,32,Poor,93.4
15,74,Average,82.8
19,66,Average,89.2
11,36,Excellent,93.2
7,69,Excellent,79.3
18,50,Poor,90.0
17,72,Average,85.4
8,58,Excellent,83.6
20,67,Poor,86.9
8,73,Average,76.1
1,43,Average,78.1
10,69,Average,79.3
13,56,Average,86.2
7,60,Excellent,82.0
6,27,Poor,84.9
19,56,Excellent,95.2
11,35,Average,90.5
2,68,Poor,68.6
11,24,Average,93.8
12,22,Poor,92.4
11,27,Excellent,95.9
6,48,Average,81.6
10,58,Average,82.6
4,24,Average,86.8
13,47,Poor,85.9
0,56,Average,73.2
13,79,Excellent,82.3
10,32,Excellent,93.4
20,45,Average,96.5
9,31,Poor,86.7
14,63,Average,85.1
5,77,Average,71.9
2,22,Excellent,88.4
0,53,Average,74.1
5,58,Average,77.6
11,50,Poor,83.0
1,34,Average,80.8
9,47,Average,84.9
1,34,Average,80.8
18,61,Excellent,92.7
12,48,Average,87.6
12,66,Average,82.2
6,67,Average,75.9
11,36,Average,90.2
14,73,Poor,79.1
4,30,Average,85.0
12,21,Average,95.7
19,20,Poor,100.0
10,28,Poor,88.6
17,51,Excellent,94.7
0,75,Poor,64.5
10,58,Average,82.6
20,42,Average,97.4
6,46,Poor,79.2
5,39,Average,83.3
17,27,Average,98.9
17,60,Average,89.0
1,50,Poor,73.0
13,67,Excellent,85.9
7,21,Average,90.7
14,54,Average,87.8
10,30,Average,91.0
12,59,Average,84.3
19,44,Average,95.8
9,55,Average,82.5
5,48,Average,80.6
17,48,Excellent,95.6
16,60,Average,88.0
16,47,Average,91.9
7,71,Average,75.7
7,77,Average,73.9
4,38,Average,82.6
12,48,Average,87.6
5,41,Average,82.7
13,23,Average,96.1
15,48,Average,90.6
18,59,Excellent,93.3
10,32,Average,90.4
2,70,Average,71.0
9,57,Excellent,84.9
0,47,Average,75.9
16,68,Average,85.6
14,67,Poor,80.9
19,68,Excellent,91.6
8,76,Poor,72.2
14,51,Average,88.7
8,52,Average,82.4
4,65,Poor,71.5
13,26,Average,95.2
17,61,Excellent,91.7
8,39,Poor,83.3
4,22,Average,87.4
13,44,Average,89.8
0,24,Poor,79.8
0,58,Average,72.6
3,56,Poor,73.2
20,63,Poor,88.1
14,65,Poor,81.5
11,36,Excellent,93.2
2,40,Average,80.0
12,50,Poor,84.0
13,37,Excellent,94.9
3,49,Poor,75.3
6,72,Excellent,77.4
17,66,Average,87.2
20,77,Excellent,89.9
14,41,Excellent,94.7
12,61,Excellent,86.7
11,66,Average,81.2
7,29,Average,88.3
3,48,Poor,75.6
15,54,Average,88.8
1,71,Excellent,72.7
13,51,Average,87.7
9,42,Poor,83.4
4,47,Excellent,82.9
1,69,Average,70.3
4,31,Poor,81.7
4,79,Average,70.3
6,29,Poor,84.3
7,33,Poor,84.1
10,20,Poor,91.0
8,76,Excellent,78.2
11,28,Average,92.6
12,54,Average,85.8
1,36,Average,80.2
1,44,Average,77.8
3,55,Poor,73.5
14,51,Average,88.7
2,73,Excellent,73.1
1,58,Poor,70.6
9,39,Average,87.3
3,55,Excellent,79.5
6,64,Average,76.8
13,54,Excellent,89.8
20,34,Average,99.8
4,21,Average,87.7
15,67,Poor,81.9
18,33,Average,98.1
9,28,Poor,87.6
19,33,Average,99.1
7,46,Average,83.2
4,54,Poor,74.8
14,77,Average,80.9
0,45,Average,76.5
12,49,Excellent,90.3
5,32,Average,85.4
18,20,Average,102.0
14,35,Average,93.5
4,66,Poor,71.2
4,43,Average,81.1
3,30,Average,84.0
14,52,Poor,85.4
9,52,Average,83.4
7,20,Average,91.0
19,47,Excellent,97.9
9,49,Average,84.3
4,20,Excellent,91.0
7,54,Poor,77.8
4,65,Poor,71.5
1,56,Excellent,77.2
18,40,Average,96.0
18,72,Average,86.4
4,64,Average,74.8
16,35,Excellent,98.5
0,44,Average,76.8
5,24,Average,87.8
19,76,Poor,83.2
9,61,Average,80.7
1,58,Average,73.6
11,40,Average,89.0
2,60,Average,74.0
5,46,Poor,78.2
5,27,Poor,83.9
20,69,Poor,86.3
12,20,Excellent,99.0
13,52,Average,87.4
1,26,Average,83.2
9,63,Excellent,83.1
7,27,Poor,85.9
16,47,Average,91.9
15,32,Average,95.4
10,77,Excellent,79.9
14,70,Excellent,86.0
17,65,Excellent,90.5
2,61,Poor,70.7
0,68,Excellent,72.6
9,35,Average,88.5
4,72,Average,72.4
14,37,Average,92.9
4,64,Excellent,77.8
15,37,Average,93.9
7,31,Poor,84.7
1,25,Average,83.5
14,35,Poor,90.5
3,68,Average,72.6
17,49,Poor,89.3
14,77,Excellent,83.9
3,72,Average,71.4
16,25,Average,98.5
14,45,Average,90.5
11,23,Excellent,97.1
1,48,Average,76.6
4,79,Average,70.3
10,70,Average,79.0
5,27,Poor,83.9
4,53,Average,78.1
3,52,Average,77.4
5,54,Poor,75.8
20,78,Average,86.6
16,26,Poor,95.2
18,43,Average,95.1
3,42,Poor,77.4
19,38,Poor,94.6
11,51,Average,85.7
15,43,Poor,89.1
10,22,Average,93.4
1,55,Poor,71.5
2,59,Poor,71.3
8,74,Average,75.8
2,54,Average,75.8
2,43,Excellent,82.1
8,25,Excellent,93.5
7,69,Average,76.3
1,77,Average,67.9
2,51,Average,76.7
0,74,Average,67.8
8,35,Excellent,90.5
0,74,Average,67.8
9,71,Excellent,80.7
14,63,Average,85.1
14,30,Average,95.0
3,70,Average,72.0
19,71,Average,87.7
4,34,Poor,80.8
