Overall Credit Risk Score,Months Since First Credit Account,Average Age of Credit Accounts,Number of Well-Maintained Accounts,Percentage of Accounts Never Late,Months Since Last Missed Payment,Percentage of Installment vs Revolving Loans,Time Since Last Credit Application,Credit Utilization Ratio,Number of Active Credit Cards/Lines,Loan Repaid
55.0,144.0,84.0,20.0,83.0,2.0,43.0,0.0,33.0,8.0,0
61.0,58.0,41.0,2.0,100.0,21.879546809779367,67.0,0.0,0.0,0.0,0
67.0,66.0,24.0,9.0,100.0,21.879546809779367,44.0,0.0,53.0,4.0,0
66.0,169.0,73.0,28.0,93.0,76.0,57.0,0.0,72.0,6.0,0
81.0,333.0,132.0,12.0,100.0,21.879546809779367,25.0,0.0,51.0,3.0,0
59.0,137.0,78.0,31.0,91.0,1.0,47.0,0.0,62.0,12.0,0
54.0,88.0,37.0,25.0,92.0,9.0,58.0,0.0,89.0,7.0,1
68.0,148.0,65.0,17.0,83.0,31.0,44.0,0.0,28.0,2.0,1
59.0,324.0,138.0,24.0,85.0,5.0,26.0,0.0,68.0,7.0,0
61.0,79.0,36.0,19.0,95.0,5.0,26.0,0.0,31.0,5.0,0
82.0,96.0,47.0,16.0,100.0,21.879546809779367,31.0,0.0,15.0,4.0,1
50.0,311.0,76.0,12.0,60.0,2.0,20.0,0.0,84.0,5.0,0
74.0,274.0,66.0,23.0,100.0,21.879546809779367,39.0,0.0,18.0,3.0,0
69.0,256.0,117.0,11.0,100.0,21.879546809779367,8.0,0.0,13.0,2.0,1
63.0,262.0,95.0,3.0,75.0,27.0,100.0,0.0,34.857718120805366,4.102110138960371,0
63.0,184.0,77.0,34.0,97.0,32.0,36.0,0.0,71.0,10.0,0
61.0,256.0,68.0,14.0,87.0,0.0,33.0,0.0,62.0,3.0,0
62.0,131.0,59.0,16.0,79.0,23.0,58.0,0.0,25.0,3.0,0
89.0,244.0,147.0,10.0,100.0,21.879546809779367,10.0,0.0,3.0,2.0,0
65.0,43.0,26.0,15.0,100.0,21.879546809779367,25.0,0.0,31.0,5.0,0
57.0,147.0,73.0,27.0,97.0,1.0,48.0,0.0,44.0,3.0,0
72.0,365.0,83.0,22.0,100.0,21.879546809779367,41.0,0.0,49.0,6.0,0
72.0,84.0,53.0,29.0,100.0,21.879546809779367,27.0,0.0,43.0,9.0,1
65.0,88.0,45.0,20.0,85.0,1.0,20.0,0.0,14.0,4.0,0
64.0,91.0,55.0,19.0,90.0,0.0,50.0,0.0,24.0,6.0,0
58.0,265.0,79.0,25.0,93.0,13.0,48.0,0.0,63.0,8.0,0
58.0,150.0,72.0,18.0,55.0,4.0,45.0,0.0,79.0,7.0,0
79.0,162.0,94.0,17.0,100.0,21.879546809779367,29.0,0.0,28.0,3.0,0
66.0,284.0,107.0,15.0,82.0,3.0,53.0,0.0,19.0,3.0,0
69.0,476.0,157.0,38.0,100.0,21.879546809779367,36.0,0.0,50.0,14.0,0
71.0,179.0,62.0,15.0,83.0,37.0,33.0,0.0,5.0,1.0,1
54.0,114.0,49.0,9.0,64.0,4.0,27.0,0.0,62.0,6.0,0
68.0,133.0,44.0,39.0,100.0,21.879546809779367,67.0,0.0,15.0,5.0,0
75.0,164.0,66.0,19.0,100.0,21.879546809779367,21.0,0.0,53.0,5.0,1
67.0,118.0,37.0,23.0,88.0,70.0,42.0,0.0,31.0,5.0,0
88.0,153.0,92.0,13.0,100.0,21.879546809779367,7.0,0.0,1.0,1.0,1
51.0,186.0,96.0,22.0,84.0,2.0,56.0,0.0,79.0,5.0,0
70.0,127.0,57.0,23.0,96.0,21.879546809779367,13.0,0.0,51.0,9.0,0
65.0,116.0,37.0,14.0,93.0,72.0,13.0,0.0,52.0,3.0,0
78.0,21.0,13.0,11.0,100.0,21.879546809779367,64.0,0.0,7.0,3.0,0
86.0,318.0,90.0,13.0,100.0,21.879546809779367,62.0,0.0,0.0,0.0,1
90.0,230.0,73.0,11.0,100.0,21.879546809779367,62.0,0.0,1.0,1.0,1
76.0,293.0,74.0,33.0,100.0,21.879546809779367,38.0,0.0,37.0,13.0,0
70.0,37.0,20.0,19.0,100.0,21.879546809779367,20.0,0.0,42.0,2.0,0
73.0,255.0,100.0,40.0,100.0,21.879546809779367,23.0,0.0,79.0,16.0,0
72.0,209.0,95.0,41.0,100.0,21.879546809779367,38.0,0.0,42.0,7.0,0
83.0,398.0,118.0,29.0,100.0,21.879546809779367,31.0,0.0,22.0,6.0,1
87.0,326.0,111.0,26.0,100.0,21.879546809779367,40.0,0.0,12.0,3.0,1
55.0,114.0,59.0,19.0,89.0,5.0,53.0,0.0,97.0,8.0,0
65.0,478.0,97.0,44.0,89.0,1.0,32.0,0.0,63.0,9.0,0
78.0,197.0,91.0,15.0,100.0,21.879546809779367,41.0,0.0,57.0,2.0,0
79.0,243.0,77.0,35.0,97.0,67.0,36.0,0.0,20.0,4.0,1
75.0,183.0,92.0,21.0,100.0,21.879546809779367,27.0,0.0,88.0,9.0,0
70.0,176.0,96.0,20.0,95.0,17.0,30.0,0.0,74.0,8.0,0
78.0,368.0,74.0,42.0,98.0,23.0,49.0,0.0,10.0,8.0,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
75.0,300.0,124.0,22.0,100.0,21.879546809779367,39.0,0.0,57.0,4.0,0
76.0,150.0,54.0,14.0,100.0,21.879546809779367,40.0,0.0,32.0,4.0,0
72.0,168.0,62.0,10.0,100.0,21.879546809779367,18.0,0.0,60.0,7.0,0
